index,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
243325,2020,10,3,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
219318,2020,5,5,23,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
761172,2020,12,12,18,0,32XX E 58TH AVE,Killarney,497336.5824,5451603.6868
621462,2020,5,21,18,0,5XX MCLEAN DR,Grandview-Woodland,494613.7101,5458561.7079
673115,2020,2,8,20,0,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.8911
184829,2020,5,27,19,32,6XX EVANS AVE,Strathcona,493456.6573,5457720.7206
628709,2020,12,8,15,0,64XX FRASER ST,Sunset,493399.1523,5452615.308
323582,2020,12,17,10,0,18XX FRANKLIN ST,Grandview-Woodland,495167.5001,5458818.4951
681168,2020,3,23,20,0,CHEYENNE AVE / EARLES ST,Renfrew-Collingwood,496642.3352,5454182.536
551299,2020,10,25,16,0,23XX GRANT ST,Grandview-Woodland,495810.9179,5457601.2644
476263,2020,10,31,20,35,X NK_LOC ST,Strathcona,492757.4868,5458792.469
673448,2020,2,5,15,0,ABBOTT ST / W PENDER ST,Central Business District,492175.4371,5458706.8534
34509,2020,4,13,1,0,63XX FRASER ST,Sunset,493399.8444,5452687.6081
628869,2020,12,9,7,0,64XX TISDALL ST,Oakridge,491127.4609,5452634.8549
135898,2020,8,20,22,0,19XX PARKER ST,Grandview-Woodland,495313.8613,5458105.6792
200022,2020,10,4,20,0,9XX W 59TH AVE,Marpole,490601.1353,5451595.0358
705042,2020,11,26,13,1,X NK_LOC ST,Strathcona,492757.4868,5458792.469
189558,2020,7,20,3,0,7XX E CORDOVA ST,Strathcona,493627.1628,5458810.7295
723922,2020,2,16,14,0,39XX W 10TH AVE,West Point Grey,486074.1015,5456771.245
539036,2020,2,8,20,0,1XX W HASTINGS ST,Central Business District,492104.303,5458836.0697
361536,2020,12,12,16,0,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.7697,5456155.9233
71740,2020,12,23,23,0,25XX TRIUMPH ST,Hastings-Sunrise,496050.3185,5459013.2803
539890,2020,12,16,2,0,1XX W PENDER ST,Central Business District,492172.3273,5458702.9613
